Initialising login role...
Connecting to remote database...

  
   Local            | Remote           | Time (UTC)            
  ------------------|------------------|-----------------------
   `20260309014747` | `20260309014747` | `2026-03-09 01:47:47` 
   `20260309162101` | `20260309162101` | `2026-03-09 16:21:01` 
   `20260315030237` | `20260315030237` | `2026-03-15 03:02:37` 
   `20260316001529` | `20260316001529` | `2026-03-16 00:15:29` 
   `20260429102921` | `20260429102921` | `2026-04-29 10:29:21` 
   `20260429102945` | `20260429102945` | `2026-04-29 10:29:45` 
   `20260429103136` | `20260429103136` | `2026-04-29 10:31:36` 
   `20260429110004` | `20260429110004` | `2026-04-29 11:00:04` 
   `20260430091132` | `20260430091132` | `2026-04-30 09:11:32` 
   `20260502004739` | `20260502004739` | `2026-05-02 00:47:39` 
   `20260503002355` | `20260503002355` | `2026-05-03 00:23:55` 
   `20260505105929` | `20260505105929` | `2026-05-05 10:59:29` 
   `20260506105226` | `20260506105226` | `2026-05-06 10:52:26` 
   `20260507022029` | `20260507022029` | `2026-05-07 02:20:29` 
   `20260607093218` | `20260607093218` | `2026-06-07 09:32:18` 
   `20260608142949` | `20260608142949` | `2026-06-08 14:29:49` 
   `20260609213052` | `20260609213052` | `2026-06-09 21:30:52` 
   `20260611214238` | `20260611214238` | `2026-06-11 21:42:38` 
   `20260701213116` | `20260701213116` | `2026-07-01 21:31:16` 
   `20260702015510` | `20260702015510` | `2026-07-02 01:55:10` 
   `20260703002007` | `20260703002007` | `2026-07-03 00:20:07` 
   `20260703002131` | `20260703002131` | `2026-07-03 00:21:31` 
   `20260704000000` | `20260704000000` | `2026-07-04 00:00:00` 
   `20260705000000` | `20260705000000` | `2026-07-05 00:00:00` 
   `20260706000000` | `20260706000000` | `2026-07-06 00:00:00` 
   `20260708000000` | `20260708000000` | `2026-07-08 00:00:00` 
   `20260709120000` | `20260709120000` | `2026-07-09 12:00:00` 
   `20260714000000` | `20260714000000` | `2026-07-14 00:00:00` 
   `20260714001000` | `20260714001000` | `2026-07-14 00:10:00` 
   `20260714002000` | `20260714002000` | `2026-07-14 00:20:00` 
   `20260714003000` | `20260714003000` | `2026-07-14 00:30:00` 
   `20260714004000` | ` `              | `2026-07-14 00:40:00` 
   `20260714005000` | ` `              | `2026-07-14 00:50:00` 
   `20260714006000` | ` `              | `20260714006000`      
   `20260715000000` | ` `              | `2026-07-15 00:00:00` 
   `20260715001000` | ` `              | `2026-07-15 00:10:00` 
   `20260716000000` | ` `              | `2026-07-16 00:00:00` 
   `20260717000000` | ` `              | `2026-07-17 00:00:00` 
   `20260717010000` | ` `              | `2026-07-17 01:00:00` 
   `20260718000001` | ` `              | `2026-07-18 00:00:01` 
   `20260718000002` | ` `              | `2026-07-18 00:00:02` 
   `20260719000000` | ` `              | `2026-07-19 00:00:00` 
   `20260720000000` | ` `              | `2026-07-20 00:00:00` 
   `20260721000000` | ` `              | `2026-07-21 00:00:00` 
   `20260721010000` | ` `              | `2026-07-21 01:00:00` 
   `20260722000000` | ` `              | `2026-07-22 00:00:00` 
   `20260722000001` | ` `              | `2026-07-22 00:00:01` 
   `20260723000000` | ` `              | `2026-07-23 00:00:00` 
   `20260725000000` | ` `              | `2026-07-25 00:00:00` 
   `20260726000000` | ` `              | `2026-07-26 00:00:00` 
   `20260727000000` | ` `              | `2026-07-27 00:00:00` 
   `20260731000000` | ` `              | `2026-07-31 00:00:00` 
   `20260801000000` | ` `              | `2026-08-01 00:00:00` 
   `20260804000000` | ` `              | `2026-08-04 00:00:00` 
   `20260805000000` | ` `              | `2026-08-05 00:00:00` 
   `20260807000000` | ` `              | `2026-08-07 00:00:00` 
   `20260808000000` | ` `              | `2026-08-08 00:00:00` 
   `20260918000000` | ` `              | `2026-09-18 00:00:00` 
   `20260918010000` | ` `              | `2026-09-18 01:00:00` 
   `20260918020000` | ` `              | `2026-09-18 02:00:00` 
   `20260918030000` | ` `              | `2026-09-18 03:00:00` 
   `20260918040000` | ` `              | `2026-09-18 04:00:00` 
   `20260918050000` | ` `              | `2026-09-18 05:00:00` 

